City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
462,horizonte,-4.1,-38.4833,81.81,92,47,4.72,BR,1675556389
463,maldonado,-34.6667,-54.9167,70.23,87,75,14.23,UY,1675556561
464,murdochville,48.9583,-65.5006,-1.32,75,10,20.45,CA,1675556562
465,armidale,-30.5167,151.65,77.31,27,0,2.39,AU,1675556295
466,det udom,14.906,105.0784,76.82,66,90,6.78,TH,1675556563
467,bonthe,7.5264,-12.505,76.78,91,37,5.75,SL,1675556563
468,gazojak,41.1875,61.4036,34.2,78,0,10.42,TM,1675556563
469,vao,-22.6667,167.4833,79.61,87,100,20.47,NC,1675556564
470,necochea,-38.5473,-58.7368,60.94,76,0,10.4,AR,1675556564
471,susanville,40.4163,-120.653,46.24,61,20,5.75,US,1675556408
472,beipiao,41.7919,120.7792,22.35,36,50,1.68,CN,1675556565
473,arraial do cabo,-22.9661,-42.0278,77.43,88,23,13.71,BR,1675556565
474,bend,44.0582,-121.3153,47.48,62,20,4.61,US,1675556428
475,jamame,0.0722,42.7506,73.33,83,25,9.57,SO,1675556565
476,san policarpo,12.1791,125.5072,79.03,83,100,16.98,PH,1675556566
477,vagur,61.4732,-6.8119,42.85,74,25,30.6,FO,1675556566
478,son la,21.3167,103.9,63.16,93,90,3.11,VN,1675556567
479,bardsir,29.9227,56.5743,39.67,59,24,11.03,IR,1675556567
480,araouane,18.9048,-3.5265,60.39,18,99,11.07,ML,1675556567
481,shenxian,36.2411,115.6672,33.6,68,1,9.84,CN,1675556568
482,ratnagiri,16.9833,73.3,72.7,47,4,4.74,IN,1675556568
483,tolmachevo,54.9824,82.7363,-11.06,77,75,2.24,RU,1675556568
484,moose factory,51.2585,-80.6094,12.2,85,100,9.22,CA,1675556569
485,ploemeur,47.7333,-3.4333,46.81,83,100,0.0,FR,1675556570
486,natal,-5.795,-35.2094,79.45,78,20,9.22,BR,1675556570
487,petropavlovsk-kamchatskiy,53.0452,158.6483,9.19,61,75,6.71,RU,1675556504
488,alzamay,55.5562,98.6644,-2.78,100,100,1.39,RU,1675556570
489,port-cartier,50.0334,-66.8654,-4.25,73,51,13.96,CA,1675556571
490,mirnyy,62.5353,113.9611,-35.77,66,99,8.99,RU,1675556571
491,kostomuksha,64.571,30.5767,6.19,93,96,7.72,RU,1675556572
492,martapura,-3.4167,114.85,78.89,94,20,4.61,ID,1675556572
493,telimele,10.9167,-13.3333,68.85,73,11,1.83,GN,1675556573
494,krasnorechenskiy,44.6265,135.3532,10.17,82,70,3.06,RU,1675556573
495,sao francisco,-15.9486,-44.8644,75.45,72,19,3.6,BR,1675556573
496,tubarao,-28.4667,-49.0069,69.89,92,52,1.7,BR,1675556574
497,riohacha,11.5444,-72.9072,78.78,69,67,14.67,CO,1675556574
498,safaga,26.7292,33.9365,59.79,46,43,5.7,EG,1675556575
499,corinto,37.9407,22.9573,47.89,94,94,7.94,GR,1675556575
500,huarmey,-10.0681,-78.1522,73.13,80,89,8.08,PE,1675556576
501,san quintin,30.4833,-115.95,61.88,63,1,12.55,MX,1675556576
502,saint-augustin,51.226,-58.6502,11.8,67,74,30.98,CA,1675556576
503,mitzic,0.7821,11.549,70.18,95,69,4.61,GA,1675556577
